序号,学科门类,门类代码,一级学科名称,学科代码,评估结果,院校名称,学校代码,评估百分位,评估名次,评估档次,全国“博士授权”高校总数,本次参评“博士授权”高校数,本次参评高校总数,双一流学科
1816,理学,7,统计学,714,B,上海交通大学,10248,20%-30%,前24-36名,5档,54,51,120,
1885,工学,8,力学,801,B+,上海交通大学,10248,10%-20%,前8-16名,4档,53,52,80,
1933,工学,8,机械工程,802,A+,上海交通大学,10248,前2%,前2名,1档,93,89,189,机械工程
2124,工学,8,仪器科学与技术,804,A-,上海交通大学,10248,5%-10%,前3-7名,3档,32,29,73,
2176,工学,8,材料科学与工程,805,A,上海交通大学,10248,2%-5%,前8名,2档,93,89,172,材料科学与工程
2309,工学,8,动力工程及工程热物理,807,A,上海交通大学,10248,2%-5%,前4名,2档,43,42,84,
2376,工学,8,电气工程,808,B+,上海交通大学,10248,10%-20%,前8-16名,4档,40,39,84,电子电气工程
2431,工学,8,电子科学与技术,809,A-,上海交通大学,10248,5%-10%,前5-10名,3档,52,49,106,
2501,工学,8,信息与通信工程,810,A,上海交通大学,10248,2%-5%,前6名,2档,64,61,137,信息与通信工程
2599,工学,8,控制科学与工程,811,A,上海交通大学,10248,2%-5%,前8名,2档,67,64,162,控制科学与工程
2715,工学,8,计算机科学与技术,812,A,上海交通大学,10248,2%-5%,前11名,2档,77,75,238,计算机科学与技术
2898,工学,8,建筑学,813,C+,上海交通大学,10248,40%-50%,前21-27名,7档,16,16,54,
2929,工学,8,土木工程,814,B+,上海交通大学,10248,10%-20%,前13-26名,4档,56,54,134,土木工程
3080,工学,8,化学工程与技术,817,B+,上海交通大学,10248,10%-20%,前14-28名,4档,54,51,144,化学工程与技术
3268,工学,8,交通运输工程,823,C+,上海交通大学,10248,40%-50%,前20-26名,7档,27,25,52,
3282,工学,8,船舶与海洋工程,824,A+,上海交通大学,10248,前2%,前2名,1档,13,12,18,船舶与海洋工程
3303,工学,8,航空宇航科学与技术,825,C+,上海交通大学,10248,40%-50%,前10-12名,7档,12,12,25,
3324,工学,8,核科学与技术,827,B,上海交通大学,10248,20%-30%,前4-6名,5档,12,11,20,
3378,工学,8,环境科学与工程,830,A-,上海交通大学,10248,5%-10%,前7-15名,3档,60,57,155,
3480,工学,8,生物医学工程,831,A,上海交通大学,10248,2%-5%,前3名,2档,35,32,70,
3553,工学,8,食品科学与工程,832,B-,上海交通大学,10248,30%-40%,前23-31名,6档,27,26,79,
3634,工学,8,风景园林学,834,B-,上海交通大学,10248,30%-40%,前16-22名,6档,20,20,56,
3668,工学,8,软件工程,835,A-,上海交通大学,10248,5%-10%,前8-16名,3档,46,45,165,
3847,农学,9,园艺学,902,B,上海交通大学,10248,20%-30%,前7-10名,5档,21,21,36,
3937,农学,9,畜牧学,905,C-,上海交通大学,10248,60%-70%,前26-30名,9档,30,28,44,
4024,医学,10,基础医学,1001,A-,上海交通大学,10248,5%-10%,前3-7名,3档,43,38,78,基础医学
4075,医学,10,临床医学,1002,A+,上海交通大学,10248,前2%,前2名,1档,52,48,86,临床医学
4138,医学,10,口腔医学,1003,B+,上海交通大学,10248,10%-20%,前3-7名,4档,16,15,39,口腔医学
4181,医学,10,公共卫生与预防医学,1004,B-,上海交通大学,10248,30%-40%,前16-21名,6档,34,32,54,
4247,医学,10,中西医结合,1006,C+,上海交通大学,10248,40%-50%,前21-27名,7档,32,32,54,
4268,医学,10,药学,1007,A-,上海交通大学,10248,5%-10%,前5-10名,3档,41,37,104,药学
4370,医学,10,护理学,1011,B+,上海交通大学,10248,10%-20%,前5-11名,4档,23,22,59,
4411,管理学,12,管理科学与工程,1201,A,上海交通大学,10248,2%-5%,前9名,2档,90,85,187,
4540,管理学,12,工商管理,1202,A+,上海交通大学,10248,前2%,前2名,1档,65,63,240,商业与管理
4745,管理学,12,公共管理,1204,A-,上海交通大学,10248,5%-10%,前7-14名,3档,43,27,143,
5059,艺术学,13,设计学,1305,B+,上海交通大学,10248,10%-20%,前9-18名,4档,16,16,94,
718,教育学,4,体育学,403,A+,上海体育学院,10277,前2%,前2名,1档,21,21,78,体育学
340,法学,3,政治学,302,B+,上海外国语大学,10271,10%-20%,前7-15名,4档,30,28,76,
834,文学,5,中国语言文学,501,C+,上海外国语大学,10271,40%-50%,前59-74名,7档,65,64,148,
876,文学,5,外国语言文学,502,A+,上海外国语大学,10271,前2%,前2名,1档,41,38,163,外国语言文学
1013,文学,5,新闻传播学,503,B-,上海外国语大学,10271,30%-40%,前24-32名,6档,17,17,81,
4615,管理学,12,工商管理,1202,B-,上海外国语大学,10271,30%-40%,前72-96名,6档,65,63,240,
44,哲学,1,哲学,101,C,上海大学,10280,50%-60%,前42-50名,8档,48,38,84,
116,经济学,2,理论经济学,201,C-,上海大学,10280,60%-70%,前54-63名,9档,39,38,90,
160,经济学,2,应用经济学,202,B,上海大学,10280,20%-30%,前31-46名,5档,66,58,155,
294,法学,3,法学,301,C+,上海大学,10280,40%-50%,前57-72名,7档,40,38,144,
388,法学,3,社会学,303,A-,上海大学,10280,5%-10%,前3-6名,3档,24,24,65,
479,法学,3,马克思主义理论,305,B+,上海大学,10280,10%-20%,前23-46名,4档,93,83,231,
806,文学,5,中国语言文学,501,B,上海大学,10280,20%-30%,前29-44名,5档,65,64,148,
926,文学,5,外国语言文学,502,B-,上海大学,10280,30%-40%,前44-59名,6档,41,38,163,
999,文学,5,新闻传播学,503,B+,上海大学,10280,10%-20%,前8-16名,4档,17,17,81,
1106,历史学,6,中国史,602,C+,上海大学,10280,40%-50%,前32-41名,7档,48,48,82,
1145,历史学,6,世界史,603,B-,上海大学,10280,30%-40%,前17-23名,6档,31,31,58,
1188,理学,7,数学,701,B+,上海大学,10280,10%-20%,前18-36名,4档,76,69,182,
1323,理学,7,物理学,702,B,上海大学,10280,20%-30%,前25-38名,5档,64,56,127,
1452,理学,7,化学,703,C+,上海大学,10280,40%-50%,前60-75名,7档,69,66,150,
1672,理学,7,生物学,710,C,上海大学,10280,50%-60%,前80-96名,8档,91,75,161,
1853,理学,7,统计学,714,C,上海大学,10280,50%-60%,前60-72名,8档,54,51,120,
1886,工学,8,力学,801,B+,上海大学,10280,10%-20%,前8-16名,4档,53,52,80,
1955,工学,8,机械工程,802,B+,上海大学,10280,10%-20%,前18-37名,4档,93,89,189,机械工程（自定）
2157,工学,8,仪器科学与技术,804,C,上海大学,10280,50%-60%,前36-43名,8档,32,29,73,
2196,工学,8,材料科学与工程,805,B+,上海大学,10280,10%-20%,前17-34名,4档,93,89,172,
2297,工学,8,冶金工程,806,B,上海大学,10280,20%-30%,前4-6名,5档,11,11,20,
2404,工学,8,电气工程,808,C+,上海大学,10280,40%-50%,前33-42名,7档,40,39,84,
2472,工学,8,电子科学与技术,809,C+,上海大学,10280,40%-50%,前42-53名,7档,52,49,106,
2528,工学,8,信息与通信工程,810,B,上海大学,10280,20%-30%,前27-41名,5档,64,61,137,
2630,工学,8,控制科学与工程,811,B,上海大学,10280,20%-30%,前32-48名,5档,67,64,162,
2763,工学,8,计算机科学与技术,812,B,上海大学,10280,20%-30%,前47-71名,5档,77,75,238,
2955,工学,8,土木工程,814,B-,上海大学,10280,30%-40%,前40-53名,6档,56,54,134,
3129,工学,8,化学工程与技术,817,C+,上海大学,10280,40%-50%,前57-72名,7档,54,51,144,
3405,工学,8,环境科学与工程,830,B,上海大学,10280,20%-30%,前31-46名,5档,60,57,155,
3710,工学,8,软件工程,835,B-,上海大学,10280,30%-40%,前49-66名,6档,46,45,165,
4451,管理学,12,管理科学与工程,1201,B,上海大学,10280,20%-30%,前37-56名,5档,90,85,187,
4617,管理学,12,工商管理,1202,B-,上海大学,10280,30%-40%,前72-96名,6档,65,63,240,
4846,管理学,12,图书情报与档案管理,1205,B,上海大学,10280,20%-30%,前7-11名,5档,11,10,39,
4954,艺术学,13,戏剧与影视学,1303,B+,上海大学,10280,10%-20%,前5-10名,4档,14,13,51,
4989,艺术学,13,美术学,1304,A-,上海大学,10280,5%-10%,前4-9名,3档,15,15,93,
5069,艺术学,13,设计学,1305,B,上海大学,10280,20%-30%,前18-28名,5档,16,16,94,
159,经济学,2,应用经济学,202,B,上海对外经贸大学,10273,20%-30%,前31-46名,5档,66,58,155,
293,法学,3,法学,301,C+,上海对外经贸大学,10273,40%-50%,前57-72名,7档,40,38,144,
912,文学,5,外国语言文学,502,B,上海对外经贸大学,10273,20%-30%,前29-44名,5档,41,38,163,
4616,管理学,12,工商管理,1202,B-,上海对外经贸大学,10273,30%-40%,前72-96名,6档,65,63,240,
2022,工学,8,机械工程,802,C+,上海工程技术大学,10856,40%-50%,前75-94名,7档,93,89,189,
2288,工学,8,材料科学与工程,805,C-,上海工程技术大学,10856,60%-70%,前103-120名,9档,93,89,172,
4652,管理学,12,工商管理,1202,C+,上海工程技术大学,10856,40%-50%,前96-120名,7档,65,63,240,
28,哲学,1,哲学,101,B-,上海师范大学,10270,30%-40%,前25-33名,6档,48,38,84,
202,经济学,2,应用经济学,202,C,上海师范大学,10270,50%-60%,前77-93名,8档,66,58,155,
320,法学,3,法学,301,C-,上海师范大学,10270,60%-70%,前86-100名,9档,40,38,144,
363,法学,3,政治学,302,C+,上海师范大学,10270,40%-50%,前30-38名,7档,30,28,76,
502,法学,3,马克思主义理论,305,B,上海师范大学,10270,20%-30%,前46-69名,5档,93,83,231,
622,教育学,4,教育学,401,B+,上海师范大学,10270,10%-20%,前10-20名,4档,31,30,101,
693,教育学,4,心理学,402,B,上海师范大学,10270,20%-30%,前10-15名,5档,24,23,51,
767,教育学,4,体育学,403,C-,上海师范大学,10270,60%-70%,前46-54名,9档,21,21,78,
790,文学,5,中国语言文学,501,B+,上海师范大学,10270,10%-20%,前14-29名,4档,65,64,148,
944,文学,5,外国语言文学,502,C+,上海师范大学,10270,40%-50%,前59-74名,7档,41,38,163,
1039,文学,5,新闻传播学,503,C-,上海师范大学,10270,60%-70%,前48-56名,9档,17,17,81,
1088,历史学,6,中国史,602,B,上海师范大学,10270,20%-30%,前16-24名,5档,48,48,82,
1140,历史学,6,世界史,603,B,上海师范大学,10270,20%-30%,前11-17名,5档,31,31,58,
1208,理学,7,数学,701,B,上海师范大学,10270,20%-30%,前36-54名,5档,76,69,182,
1348,理学,7,物理学,702,C+,上海师范大学,10270,40%-50%,前50-63名,7档,64,56,127,
1435,理学,7,化学,703,B-,上海师范大学,10270,30%-40%,前45-60名,6档,69,66,150,
1532,理学,7,地理学,705,C-,上海师范大学,10270,60%-70%,前36-42名,9档,31,29,60,
1655,理学,7,生物学,710,C+,上海师范大学,10270,40%-50%,前64-80名,7档,91,75,161,
2835,工学,8,计算机科学与技术,812,C,上海师范大学,10270,50%-60%,前119-142名,8档,77,75,238,
3156,工学,8,化学工程与技术,817,C-,上海师范大学,10270,60%-70%,前86-100名,9档,54,51,144,
3417,工学,8,环境科学与工程,830,B-,上海师范大学,10270,30%-40%,前46-62名,6档,60,57,155,
4920,艺术学,13,音乐与舞蹈学,1302,B-,上海师范大学,10270,30%-40%,前20-27名,6档,11,11,69,
4965,艺术学,13,戏剧与影视学,1303,B-,上海师范大学,10270,30%-40%,前15-20名,6档,14,13,51,
5004,艺术学,13,美术学,1304,B,上海师范大学,10270,20%-30%,前18-27名,5档,15,15,93,
2050,工学,8,机械工程,802,C-,上海应用技术大学,10259,60%-70%,前113-132名,9档,93,89,189,
3115,工学,8,化学工程与技术,817,B-,上海应用技术大学,10259,30%-40%,前43-57名,6档,54,51,144,
4874,艺术学,13,艺术学理论,1301,B,上海戏剧学院,10279,20%-30%,前10-15名,5档,19,18,50,
4928,艺术学,13,音乐与舞蹈学,1302,C+,上海戏剧学院,10279,40%-50%,前27-34名,7档,11,11,69,
4952,艺术学,13,戏剧与影视学,1303,A-,上海戏剧学院,10279,5%-10%,前2-5名,3档,14,13,51,
5099,艺术学,13,设计学,1305,C,上海戏剧学院,10279,50%-60%,前47-56名,8档,16,16,94,
286,法学,3,法学,301,B-,上海政法学院,11835,30%-40%,前43-57名,6档,40,38,144,
292,法学,3,法学,301,C+,上海海事大学,10254,40%-50%,前57-72名,7档,40,38,144,
925,文学,5,外国语言文学,502,B-,上海海事大学,10254,30%-40%,前44-59名,6档,41,38,163,
2049,工学,8,机械工程,802,C-,上海海事大学,10254,60%-70%,前113-132名,9档,93,89,189,
2403,工学,8,电气工程,808,C+,上海海事大学,10254,40%-50%,前33-42名,7档,40,39,84,
2571,工学,8,信息与通信工程,810,C,上海海事大学,10254,50%-60%,前68-82名,8档,64,61,137,
2853,工学,8,计算机科学与技术,812,C-,上海海事大学,10254,60%-70%,前142-166名,9档,77,75,238,
3256,工学,8,交通运输工程,823,B,上海海事大学,10254,20%-30%,前10-15名,5档,27,25,52,
3291,工学,8,船舶与海洋工程,824,C-,上海海事大学,10254,60%-70%,前10-12名,9档,13,12,18,
4448,管理学,12,管理科学与工程,1201,B,上海海事大学,10254,20%-30%,前37-56名,5档,90,85,187,
4666,管理学,12,工商管理,1202,C,上海海事大学,10254,50%-60%,前120-144名,8档,65,63,240,
1553,理学,7,海洋科学,707,B-,上海海洋大学,10264,30%-40%,前6-8名,6档,12,10,22,
1639,理学,7,生物学,710,B-,上海海洋大学,10264,30%-40%,前48-64名,6档,91,75,161,
2812,工学,8,计算机科学与技术,812,C+,上海海洋大学,10264,40%-50%,前95-119名,7档,77,75,238,
3466,工学,8,环境科学与工程,830,C-,上海海洋大学,10264,60%-70%,前93-108名,9档,60,57,155,
3537,工学,8,食品科学与工程,832,B+,上海海洋大学,10264,10%-20%,前7-15名,4档,27,26,79,
3990,农学,9,水产,908,A+,上海海洋大学,10264,前2%,前2名,1档,9,8,19,水产
4731,管理学,12,农林经济管理,1203,C-,上海海洋大学,10264,60%-70%,前23-27名,9档,24,22,39,
963,文学,5,外国语言文学,502,C,上海理工大学,10252,50%-60%,前74-88名,8档,41,38,163,
1033,文学,5,新闻传播学,503,C,上海理工大学,10252,50%-60%,前40-48名,8档,17,17,81,
1265,理学,7,数学,701,C,上海理工大学,10252,50%-60%,前91-109名,8档,76,69,182,
1374,理学,7,物理学,702,C-,上海理工大学,10252,60%-70%,前76-88名,9档,64,56,127,
1700,理学,7,系统科学,711,B,上海理工大学,10252,20%-30%,前2-3名,5档,7,6,12,
1977,工学,8,机械工程,802,B,上海理工大学,10252,20%-30%,前37-56名,5档,93,89,189,
2075,工学,8,光学工程,803,B+,上海理工大学,10252,10%-20%,前8-16名,4档,39,36,80,
2151,工学,8,仪器科学与技术,804,C+,上海理工大学,10252,40%-50%,前29-36名,7档,32,29,73,
2320,工学,8,动力工程及工程热物理,807,B+,上海理工大学,10252,10%-20%,前8-16名,4档,43,42,84,
2420,工学,8,电气工程,808,C-,上海理工大学,10252,60%-70%,前50-58名,9档,40,39,84,
2666,工学,8,控制科学与工程,811,C+,上海理工大学,10252,40%-50%,前64-81名,7档,67,64,162,
2811,工学,8,计算机科学与技术,812,C+,上海理工大学,10252,40%-50%,前95-119名,7档,77,75,238,
2985,工学,8,土木工程,814,C,上海理工大学,10252,50%-60%,前67-80名,8档,56,54,134,
3277,工学,8,交通运输工程,823,C-,上海理工大学,10252,60%-70%,前31-36名,9档,27,25,52,
3447,工学,8,环境科学与工程,830,C,上海理工大学,10252,50%-60%,前77-93名,8档,60,57,155,
3495,工学,8,生物医学工程,831,B,上海理工大学,10252,20%-30%,前14-21名,5档,35,32,70,
3576,工学,8,食品科学与工程,832,C-,上海理工大学,10252,60%-70%,前47-55名,9档,27,26,79,
3744,工学,8,软件工程,835,C,上海理工大学,10252,50%-60%,前82-99名,8档,46,45,165,
4430,管理学,12,管理科学与工程,1201,B+,上海理工大学,10252,10%-20%,前18-37名,4档,90,85,187,
4665,管理学,12,工商管理,1202,C,上海理工大学,10252,50%-60%,前120-144名,8档,65,63,240,
4812,管理学,12,公共管理,1204,C,上海理工大学,10252,50%-60%,前71-85名,8档,43,27,143,
2340,工学,8,动力工程及工程热物理,807,C+,上海电力大学,10256,40%-50%,前33-42名,7档,43,42,84,
2393,工学,8,电气工程,808,B-,上海电力大学,10256,30%-40%,前25-33名,6档,40,39,84,
3128,工学,8,化学工程与技术,817,C+,上海电力大学,10256,40%-50%,前57-72名,7档,54,51,144,
71,经济学,2,理论经济学,201,B+,上海财经大学,10272,10%-20%,前9-18名,4档,39,38,90,
127,经济学,2,应用经济学,202,A,上海财经大学,10272,2%-5%,前7名,2档,66,58,155,
263,法学,3,法学,301,B,上海财经大学,10272,20%-30%,前28-43名,5档,40,38,144,
478,法学,3,马克思主义理论,305,B+,上海财经大学,10272,10%-20%,前23-46名,4档,93,83,231,
945,文学,5,外国语言文学,502,C+,上海财经大学,10272,40%-50%,前59-74名,7档,41,38,163,
1798,理学,7,统计学,714,A-,上海财经大学,10272,5%-10%,前6-12名,3档,54,51,120,统计学
4450,管理学,12,管理科学与工程,1201,B,上海财经大学,10272,20%-30%,前37-56名,5档,90,85,187,
4546,管理学,12,工商管理,1202,A,上海财经大学,10272,2%-5%,前12名,2档,65,63,240,
4769,管理学,12,公共管理,1204,B,上海财经大学,10272,20%-30%,前28-42名,5档,43,27,143,
4872,艺术学,13,艺术学理论,1301,B+,上海音乐学院,10278,10%-20%,前5-10名,4档,19,18,50,
4900,艺术学,13,音乐与舞蹈学,1302,A+,上海音乐学院,10278,前2%,前2名,1档,11,11,69,音乐与舞蹈学
4959,艺术学,13,戏剧与影视学,1303,B,上海音乐学院,10278,20%-30%,前10-15名,5档,14,13,51,
3337,工学,8,农业工程,828,B+,东北农业大学,10224,10%-20%,前3-7名,4档,24,21,37,
3536,工学,8,食品科学与工程,832,B+,东北农业大学,10224,10%-20%,前7-15名,4档,27,26,79,
3641,工学,8,风景园林学,834,C+,东北农业大学,10224,40%-50%,前22-28名,7档,20,20,56,
3825,农学,9,作物学,901,B-,东北农业大学,10224,30%-40%,前12-16名,6档,30,30,42,
3854,农学,9,园艺学,902,C+,东北农业大学,10224,40%-50%,前14-18名,7档,21,21,36,
3879,农学,9,农业资源与环境,903,C+,东北农业大学,10224,40%-50%,前13-17名,7档,19,18,34,
3904,农学,9,植物保护,904,C,东北农业大学,10224,50%-60%,前17-21名,8档,24,20,35,
3920,农学,9,畜牧学,905,B,东北农业大学,10224,20%-30%,前8-13名,5档,30,28,44,畜牧学（自定）
3946,农学,9,兽医学,906,B+,东北农业大学,10224,10%-20%,前4-8名,4档,20,20,41,
4014,农学,9,草学,909,C+,东北农业大学,10224,40%-50%,前10-13名,7档,14,13,26,
4716,管理学,12,农林经济管理,1203,B,东北农业大学,10224,20%-30%,前7-11名,5档,24,22,39,
4824,管理学,12,公共管理,1204,C-,东北农业大学,10224,60%-70%,前85-100名,9档,43,27,143,
19,哲学,1,哲学,101,B,东北大学,10145,20%-30%,前16-25名,5档,48,38,84,
1241,理学,7,数学,701,C+,东北大学,10145,40%-50%,前72-91名,7档,76,69,182,
1338,理学,7,物理学,702,B-,东北大学,10145,30%-40%,前38-50名,6档,64,56,127,
1418,理学,7,化学,703,B,东北大学,10145,20%-30%,前30-45名,5档,69,66,150,
1667,理学,7,生物学,710,C,东北大学,10145,50%-60%,前80-96名,8档,91,75,161,
1916,工学,8,力学,801,C,东北大学,10145,50%-60%,前40-48名,8档,53,52,80,
1954,工学,8,机械工程,802,B+,东北大学,10145,10%-20%,前18-37名,4档,93,89,189,
2182,工学,8,材料科学与工程,805,A-,东北大学,10145,5%-10%,前8-17名,3档,93,89,172,
2295,工学,8,冶金工程,806,B+,东北大学,10145,10%-20%,前2-4名,4档,11,11,20,
2334,工学,8,动力工程及工程热物理,807,B-,东北大学,10145,30%-40%,前25-33名,6档,43,42,84,
2400,工学,8,电气工程,808,C+,东北大学,10145,40%-50%,前33-42名,7档,40,39,84,
2527,工学,8,信息与通信工程,810,B,东北大学,10145,20%-30%,前27-41名,5档,64,61,137,
2598,工学,8,控制科学与工程,811,A,东北大学,10145,2%-5%,前8名,2档,67,64,162,控制科学与工程
2721,工学,8,计算机科学与技术,812,A-,东北大学,10145,5%-10%,前11-23名,3档,77,75,238,
2954,工学,8,土木工程,814,B-,东北大学,10145,30%-40%,前40-53名,6档,56,54,134,
3058,工学,8,测绘科学与技术,816,C,东北大学,10145,50%-60%,前17-20名,8档,15,13,34,
3151,工学,8,化学工程与技术,817,C-,东北大学,10145,60%-70%,前86-100名,9档,54,51,144,
3189,工学,8,地质资源与地质工程,818,C-,东北大学,10145,60%-70%,前22-26名,9档,27,26,38,
3195,工学,8,矿业工程,819,B+,东北大学,10145,10%-20%,前2-5名,4档,18,18,28,
3433,工学,8,环境科学与工程,830,C+,东北大学,10145,40%-50%,前62-77名,7档,60,57,155,
3501,工学,8,生物医学工程,831,B-,东北大学,10145,30%-40%,前21-28名,6档,35,32,70,
3665,工学,8,软件工程,835,A-,东北大学,10145,5%-10%,前8-16名,3档,46,45,165,
3791,工学,8,安全科学与工程,837,B-,东北大学,10145,30%-40%,前15-20名,6档,20,20,52,
4425,管理学,12,管理科学与工程,1201,B+,东北大学,10145,10%-20%,前18-37名,4档,90,85,187,
4592,管理学,12,工商管理,1202,B,东北大学,10145,20%-30%,前48-72名,5档,65,63,240,
4752,管理学,12,公共管理,1204,B+,东北大学,10145,10%-20%,前14-28名,4档,43,27,143,
87,经济学,2,理论经济学,201,B-,东北师范大学,10200,30%-40%,前27-36名,6档,39,38,90,
168,经济学,2,应用经济学,202,B-,东北师范大学,10200,30%-40%,前46-62名,6档,66,58,155,
346,法学,3,政治学,302,B,东北师范大学,10200,20%-30%,前15-22名,5档,30,28,76,
451,法学,3,马克思主义理论,305,A+,东北师范大学,10200,前2%,前2名,1档,93,83,231,马克思主义理论
613,教育学,4,教育学,401,A,东北师范大学,10200,2%-5%,前5名,2档,31,30,101,
696,教育学,4,心理学,402,B-,东北师范大学,10200,30%-40%,前15-20名,6档,24,23,51,
733,教育学,4,体育学,403,B,东北师范大学,10200,20%-30%,前15-23名,5档,21,21,78,
789,文学,5,中国语言文学,501,B+,东北师范大学,10200,10%-20%,前14-29名,4档,65,64,148,
894,文学,5,外国语言文学,502,B+,东北师范大学,10200,10%-20%,前14-29名,4档,41,38,163,
1087,历史学,6,中国史,602,B,东北师范大学,10200,20%-30%,前16-24名,5档,48,48,82,
1131,历史学,6,世界史,603,A-,东北师范大学,10200,5%-10%,前2-5名,3档,31,31,58,世界史
1187,理学,7,数学,701,B+,东北师范大学,10200,10%-20%,前18-36名,4档,76,69,182,数学
1310,理学,7,物理学,702,B+,东北师范大学,10200,10%-20%,前12-25名,4档,64,56,127,
1402,理学,7,化学,703,B+,东北师范大学,10200,10%-20%,前15-30名,4档,69,66,150,化学
1502,理学,7,地理学,705,B+,东北师范大学,10200,10%-20%,前6-12名,4档,31,29,60,
1595,理学,7,生物学,710,A-,东北师范大学,10200,5%-10%,前8-16名,3档,91,75,161,
1723,理学,7,生态学,713,A,东北师范大学,10200,2%-5%,前5名,2档,57,48,100,
1793,理学,7,统计学,714,A,东北师范大学,10200,2%-5%,前6名,2档,54,51,120,统计学
4908,艺术学,13,音乐与舞蹈学,1302,B+,东北师范大学,10200,10%-20%,前6-13名,4档,11,11,69,
4963,艺术学,13,戏剧与影视学,1303,B-,东北师范大学,10200,30%-40%,前15-20名,6档,14,13,51,
4995,艺术学,13,美术学,1304,B+,东北师范大学,10200,10%-20%,前9-18名,4档,15,15,93,
545,法学,3,马克思主义理论,305,C+,东北林业大学,10225,40%-50%,前92-115名,7档,93,83,231,
1622,理学,7,生物学,710,B,东北林业大学,10225,20%-30%,前32-48名,5档,91,75,161,
1744,理学,7,生态学,713,B,东北林业大学,10225,20%-30%,前20-30名,5档,57,48,100,
2011,工学,8,机械工程,802,C+,东北林业大学,10225,40%-50%,前75-94名,7档,93,89,189,
3267,工学,8,交通运输工程,823,C+,东北林业大学,10225,40%-50%,前20-26名,7档,27,25,52,
3358,工学,8,林业工程,829,A+,东北林业大学,10225,前2%,前2名,1档,8,8,13,林业工程
3623,工学,8,风景园林学,834,B+,东北林业大学,10225,10%-20%,前5-11名,4档,20,20,56,
3972,农学,9,林学,907,B+,东北林业大学,10225,10%-20%,前3-6名,4档,18,18,30,林学
4523,管理学,12,管理科学与工程,1201,C-,东北林业大学,10225,60%-70%,前112-130名,9档,90,85,187,
4717,管理学,12,农林经济管理,1203,B,东北林业大学,10225,20%-30%,前7-11名,5档,24,22,39,
2336,工学,8,动力工程及工程热物理,807,B-,东北电力大学,10188,30%-40%,前25-33名,6档,43,42,84,
2384,工学,8,电气工程,808,B,东北电力大学,10188,20%-30%,前16-25名,5档,40,39,84,
2664,工学,8,控制科学与工程,811,C+,东北电力大学,10188,40%-50%,前64-81名,7档,67,64,162,
2833,工学,8,计算机科学与技术,812,C,东北电力大学,10188,50%-60%,前119-142名,8档,77,75,238,
2996,工学,8,土木工程,814,C-,东北电力大学,10188,60%-70%,前80-93名,9档,56,54,134,
